Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Beñat Etxebarria,Central Midfield,26,Real Betis,LaLiga,Athletic Bilbao,LaLiga,2013-2014,12000000.0,8000000
Gervinho,Left Winger,26,Arsenal,Premier League,AS Roma,Serie A,2013-2014,10000000.0,8000000
Ádám Szalai,Centre-Forward,25,1.FSV Mainz 05,1.Bundesliga,FC Schalke 04,1.Bundesliga,2013-2014,7000000.0,8000000
Luis Alberto,Attacking Midfield,20,Sevilla FC,LaLiga,Liverpool,Premier League,2013-2014,5000000.0,8000000
Nikica Jelavic,Centre-Forward,28,Everton,Premier League,Hull City,Premier League,2013-2014,6500000.0,7800000
Kévin Gameiro,Centre-Forward,26,Paris SG,Ligue 1,Sevilla FC,LaLiga,2013-2014,10000000.0,7500000
Emanuele Giaccherini,Left Winger,28,Juventus,Serie A,Sunderland,Premier League,2013-2014,7500000.0,7500000
Felipe Anderson,Right Winger,20,Santos FC,Série A,Lazio,Serie A,2013-2014,6000000.0,7500000
Saphir Taider,Central Midfield,21,Bologna,Serie A,Inter,Serie A,2013-2014,5000000.0,7500000
Giannelli Imbula,Defensive Midfield,20,Guingamp,Ligue 1,Marseille,Ligue 1,2013-2014,3000000.0,7500000
Stéphane Sessègnon,Attacking Midfield,29,Sunderland,Premier League,West Brom,Premier League,2013-2014,9000000.0,7000000
Leo Baptistão,Centre-Forward,20,Rayo Vallecano,LaLiga,Atlético Madrid,LaLiga,2013-2014,7000000.0,7000000
Daniel Carvajal,Right-Back,21,Bay. Leverkusen,1.Bundesliga,Real Madrid,LaLiga,2013-2014,10000000.0,6500000
Libor Kozak,Centre-Forward,24,Lazio,Serie A,Aston Villa,Premier League,2013-2014,3800000.0,6500000
Cristián Zapata,Centre-Back,26,Villarreal CF,LaLiga,AC Milan,Serie A,2013-2014,6000000.0,6000000
Casemiro,Defensive Midfield,21,São Paulo,Série A,Real Madrid,LaLiga,2013-2014,6000000.0,6000000
Timm Klose,Centre-Back,25,1.FC Nuremberg,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2013-2014,5500000.0,6000000
Vicente Iborra,Defensive Midfield,25,Levante UD,LaLiga,Sevilla FC,LaLiga,2013-2014,4000000.0,6000000
Pedro León,Right Winger,26,Real Madrid,LaLiga,Getafe CF,LaLiga,2013-2014,3000000.0,6000000
Jonjo Shelvey,Central Midfield,21,Liverpool,Premier League,Swansea,Premier League,2013-2014,5500000.0,5900000
Victor Anichebe,Centre-Forward,25,Everton,Premier League,West Brom,Premier League,2013-2014,5000000.0,5900000
Stewart Downing,Left Midfield,29,Liverpool,Premier League,West Ham,Premier League,2013-2014,8500000.0,5800000
Tom Huddlestone,Defensive Midfield,26,Spurs,Premier League,Hull City,Premier League,2013-2014,4500000.0,5800000
Ishak Belfodil,Second Striker,21,Parma,Serie A,Inter,Serie A,2013-2014,10000000.0,5750000
Maarten Stekelenburg,Goalkeeper,30,AS Roma,Serie A,Fulham,Premier League,2013-2014,5500000.0,5600000
Jérémy Toulalan,Defensive Midfield,29,Málaga CF,LaLiga,Monaco,Ligue 1,2013-2014,15000000.0,5000000
Franck Tabanou,Left-Back,24,Toulouse,Ligue 1,Saint-Étienne,Ligue 1,2013-2014,6000000.0,5000000
Benjamin Corgnet,Attacking Midfield,26,FC Lorient,Ligue 1,Saint-Étienne,Ligue 1,2013-2014,5000000.0,5000000
Rafael,Goalkeeper,23,Santos FC,Série A,SSC Napoli,Serie A,2013-2014,4000000.0,5000000
Ja-cheol Koo,Attacking Midfield,24,VfL Wolfsburg,1.Bundesliga,1.FSV Mainz 05,1.Bundesliga,2013-2014,4000000.0,5000000
Martín Demichelis,Centre-Back,32,Atlético Madrid,LaLiga,Man City,Premier League,2013-2014,3000000.0,5000000
Faouzi Ghoulam,Left-Back,23,Saint-Étienne,Ligue 1,SSC Napoli,Serie A,2013-2014,3000000.0,5000000
Raman Chibsah,Central Midfield,20,Parma,Serie A,Sassuolo,Serie A,2013-2014,1500000.0,5000000
Emre Can,Defensive Midfield,19,Bayern Munich ,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2013-2014,1500000.0,5000000
Federico Peluso,Left-Back,29,Atalanta,Serie A,Juventus,Serie A,2013-2014,5000000.0,4800000
Mattia Destro,Centre-Forward,22,Genoa,Serie A,AS Roma,Serie A,2013-2014,11500000.0,4500000
Scott Parker,Central Midfield,32,Spurs,Premier League,Fulham,Premier League,2013-2014,6000000.0,4500000
Mevlüt Erdinc,Centre-Forward,26,Stade Rennais,Ligue 1,Saint-Étienne,Ligue 1,2013-2014,6000000.0,4500000
Domenico Berardi,Right Winger,19,Sassuolo,Serie A,Juventus,Serie A,2013-2014,6000000.0,4500000
Daniel Caligiuri,Right Midfield,25,SC Freiburg,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2013-2014,4500000.0,4500000
Luca Marrone,Defensive Midfield,23,Juventus,Serie A,Sassuolo,Serie A,2013-2014,4000000.0,4500000
Luca Cigarini,Defensive Midfield,27,SSC Napoli,Serie A,Atalanta,Serie A,2013-2014,7500000.0,4200000
Pablo Armero,Left-Back,26,Udinese Calcio,Serie A,SSC Napoli,Serie A,2013-2014,9000000.0,4000000
Nicolas Isimat-Mirin,Centre-Back,21,Valenciennes FC,Ligue 1,Monaco,Ligue 1,2013-2014,4500000.0,4000000
Kike Sola,Centre-Forward,27,CA Osasuna,LaLiga,Athletic Bilbao,LaLiga,2013-2014,4000000.0,4000000
Joel Robles,Goalkeeper,23,Atlético Madrid,LaLiga,Everton,Premier League,2013-2014,3000000.0,4000000
Henrique,Centre-Back,27,Palmeiras,Série A,SSC Napoli,Serie A,2013-2014,2500000.0,4000000
Nicolás López,Centre-Forward,19,AS Roma,Serie A,Udinese Calcio,Serie A,2013-2014,1700000.0,4000000
Rodney Strasser,Defensive Midfield,23,AC Milan,Serie A,Genoa,Serie A,2013-2014,1200000.0,4000000
Luis Suárez,Centre-Forward,27,Liverpool,Premier League,FC Barcelona,LaLiga,2014-2015,52000000.0,81720000
James Rodríguez,Attacking Midfield,23,Monaco,Ligue 1,Real Madrid,LaLiga,2014-2015,60000000.0,75000000
Ángel Di María,Right Winger,26,Real Madrid,LaLiga,Man Utd,Premier League,2014-2015,50000000.0,75000000
David Luiz,Centre-Back,27,Chelsea,Premier League,Paris SG,Ligue 1,2014-2015,26000000.0,49500000
Alexis Sánchez,Left Winger,25,FC Barcelona,LaLiga,Arsenal,Premier League,2014-2015,30000000.0,42500000
Diego Costa,Centre-Forward,25,Atlético Madrid,LaLiga,Chelsea,Premier League,2014-2015,35000000.0,38000000
Luke Shaw,Left-Back,18,Southampton,Premier League,Man Utd,Premier League,2014-2015,13000000.0,37500000
Ander Herrera,Central Midfield,24,Athletic Bilbao,LaLiga,Man Utd,Premier League,2014-2015,20000000.0,36000000
Romelu Lukaku,Centre-Forward,21,Chelsea,Premier League,Everton,Premier League,2014-2015,25000000.0,35360000
Cesc Fàbregas,Central Midfield,27,FC Barcelona,LaLiga,Chelsea,Premier League,2014-2015,50000000.0,33000000
Wilfried Bony,Centre-Forward,26,Swansea,Premier League,Man City,Premier League,2014-2015,17000000.0,32300000
André Schürrle,Left Winger,24,Chelsea,Premier League,VfL Wolfsburg,1.Bundesliga,2014-2015,23000000.0,32000000
Juan Cuadrado,Right Winger,26,Fiorentina,Serie A,Chelsea,Premier League,2014-2015,32000000.0,31000000
Adam Lallana,Attacking Midfield,26,Southampton,Premier League,Liverpool,Premier League,2014-2015,7500000.0,31000000
Antoine Griezmann,Centre-Forward,23,Real Sociedad,LaLiga,Atlético Madrid,LaLiga,2014-2015,30000000.0,30000000
Medhi Benatia,Centre-Back,27,AS Roma,Serie A,Bayern Munich ,1.Bundesliga,2014-2015,28000000.0,28000000
Dejan Lovren,Centre-Back,25,Southampton,Premier League,Liverpool,Premier League,2014-2015,12000000.0,25300000
Toni Kroos,Central Midfield,24,Bayern Munich ,1.Bundesliga,Real Madrid,LaLiga,2014-2015,42000000.0,25000000
Juan Iturbe,Right Winger,21,Hellas Verona,Serie A,AS Roma,Serie A,2014-2015,20000000.0,24500000
Mario Mandzukic,Left Winger,28,Bayern Munich ,1.Bundesliga,Atlético Madrid,LaLiga,2014-2015,30000000.0,22000000
Calum Chambers,Centre-Back,19,Southampton,Premier League,Arsenal,Premier League,2014-2015,2000000.0,20230000
Mario Balotelli,Centre-Forward,24,AC Milan,Serie A,Liverpool,Premier League,2014-2015,27000000.0,20000000
Danny Welbeck,Centre-Forward,23,Man Utd,Premier League,Arsenal,Premier League,2014-2015,17000000.0,20000000
Filipe Luís,Left-Back,28,Atlético Madrid,LaLiga,Chelsea,Premier League,2014-2015,15000000.0,20000000
Jérémy Mathieu,Centre-Back,30,Valencia CF,LaLiga,FC Barcelona,LaLiga,2014-2015,12000000.0,20000000
Álvaro Morata,Centre-Forward,21,Real Madrid,LaLiga,Juventus,Serie A,2014-2015,12000000.0,20000000
Thomas Vermaelen,Centre-Back,28,Arsenal,Premier League,FC Barcelona,LaLiga,2014-2015,15000000.0,19000000
Ciro Immobile,Centre-Forward,24,Torino,Serie A,Bor. Dortmund,1.Bundesliga,2014-2015,18000000.0,18500000
Ivan Rakitic,Central Midfield,26,Sevilla FC,LaLiga,FC Barcelona,LaLiga,2014-2015,20000000.0,18000000
Alberto Moreno,Left-Back,22,Sevilla FC,LaLiga,Liverpool,Premier League,2014-2015,15000000.0,18000000
Alessio Cerci,Right Winger,27,Torino,Serie A,Atlético Madrid,LaLiga,2014-2015,18000000.0,15000000
Radja Nainggolan,Central Midfield,26,Cagliari Calcio,Serie A,AS Roma,Serie A,2014-2015,18000000.0,15000000
Mathieu Debuchy,Right-Back,28,Newcastle,Premier League,Arsenal,Premier League,2014-2015,10000000.0,15000000
Gabriel Paulista,Centre-Back,24,Villarreal CF,LaLiga,Arsenal,Premier League,2014-2015,8000000.0,15000000
Shane Long,Centre-Forward,27,Hull City,Premier League,Southampton,Premier League,2014-2015,6000000.0,14900000
Hakan Calhanoglu,Left Winger,20,Hamburger SV,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2014-2015,7000000.0,14500000
Ryan Bertrand,Left-Back,25,Chelsea,Premier League,Southampton,Premier League,2014-2015,6000000.0,13340000
Loïc Rémy,Centre-Forward,27,QPR,Premier League,Chelsea,Premier League,2014-2015,12000000.0,13200000
Lucas Silva,Central Midfield,21,Cruzeiro,Série A,Real Madrid,LaLiga,2014-2015,12000000.0,13000000
Aymen Abdennour,Centre-Back,24,Toulouse,Ligue 1,Monaco,Ligue 1,2014-2015,6000000.0,13000000
Ben Davies,Left-Back,21,Swansea,Premier League,Spurs,Premier League,2014-2015,5500000.0,12650000
Divock Origi,Centre-Forward,19,LOSC Lille,Ligue 1,Liverpool,Premier League,2014-2015,1000000.0,12630000
Jack Rodwell,Defensive Midfield,23,Man City,Premier League,Sunderland,Premier League,2014-2015,12000000.0,12600000
Manolo Gabbiadini,Centre-Forward,23,Sampdoria,Serie A,SSC Napoli,Serie A,2014-2015,12000000.0,12500000
Marc-André ter Stegen,Goalkeeper,22,Bor. M'gladbach,1.Bundesliga,FC Barcelona,LaLiga,2014-2015,20000000.0,12000000
Emre Can,Defensive Midfield,20,Bay. Leverkusen,1.Bundesliga,Liverpool,Premier League,2014-2015,7500000.0,12000000
Abel Hernández,Centre-Forward,24,US Palermo,Serie A,Hull City,Premier League,2014-2015,5000000.0,12000000
Claudio Bravo,Goalkeeper,31,Real Sociedad,LaLiga,FC Barcelona,LaLiga,2014-2015,4000000.0,12000000
Gylfi Sigurdsson,Attacking Midfield,24,Spurs,Premier League,Swansea,Premier League,2014-2015,8000000.0,10100000
Matthias Ginter,Centre-Back,20,SC Freiburg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2014-2015,12000000.0,10000000
Rémy Cabella,Attacking Midfield,24,Montpellier,Ligue 1,Newcastle,Premier League,2014-2015,10000000.0,10000000
Keylor Navas,Goalkeeper,27,Levante UD,LaLiga,Real Madrid,LaLiga,2014-2015,10000000.0,10000000
Guilherme Siqueira,Left-Back,28,Granada CF,LaLiga,Atlético Madrid,LaLiga,2014-2015,8000000.0,10000000
Federico Fazio,Centre-Back,27,Sevilla FC,LaLiga,Spurs,Premier League,2014-2015,8000000.0,10000000
Federico Fernández,Centre-Back,25,SSC Napoli,Serie A,Swansea,Premier League,2014-2015,5000000.0,10000000
Juan Bernat,Left-Back,21,Valencia CF,LaLiga,Bayern Munich ,1.Bundesliga,2014-2015,4000000.0,10000000
Adrián Ramos,Centre-Forward,28,Hertha BSC,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2014-2015,11000000.0,9700000
Stefano Sturaro,Central Midfield,21,Genoa,Serie A,Juventus,Serie A,2014-2015,3500000.0,9600000
Xabi Alonso,Defensive Midfield,32,Real Madrid,LaLiga,Bayern Munich ,1.Bundesliga,2014-2015,8000000.0,9000000
Pierre-Michel Lasogga,Centre-Forward,22,Hertha BSC,1.Bundesliga,Hamburger SV,1.Bundesliga,2014-2015,9000000.0,8500000
Ciro Immobile,Centre-Forward,24,Juventus,Serie A,Torino,Serie A,2014-2015,18000000.0,8000000
Shinji Kagawa,Attacking Midfield,25,Man Utd,Premier League,Bor. Dortmund,1.Bundesliga,2014-2015,15000000.0,8000000
Shkodran Mustafi,Centre-Back,22,Sampdoria,Serie A,Valencia CF,LaLiga,2014-2015,7000000.0,8000000
